"Local authority","Local authority code","Library name","Address 1","Address 2","Address 3","Postcode","Library type","Unique property reference number","Co-located","Easting","Northing","OA Code","Rural urban classification","IMD"
"Calderdale","E08000033","Skircoat","Skircoat Green Road","Halifax","West Yorkshire","HX3 0LQ","LAL",NULL,"No",409120,423241,"E00055297","A1",23079
"Calderdale","E08000033","Southowram","Law Lane","Halifax","West Yorkshire","HX3 9QU","LAL",NULL,"No",411178,423744,"E00055427","A1",16626
"Calderdale","E08000033","Sowerby Bridge","Hollins Mill Lane","Sowerby Bridge","West Yorkshire","HX6 2QG","LAL",NULL,"No",405860,423615,"E00055325","A1",6061
"Calderdale","E08000033","Stainland","Stainland Road","Halifax","West Yorkshire","HX4 9AF","LAL",NULL,"Yes",408567,419721,"E00168663","D1",11814
"Calderdale","E08000033","Todmorden","Strand, Rochdale Road","Todmorden","West Yorkshire","OL14 7LB","LAL",100052078443,"Yes",393574,424034,"E00055371","C1",7539
"Cambridgeshire","E10000003","Arbury Court Library","Arbury Road","Cambridge","Cambridgeshire","CB4 2JQ","LAL",NULL,"No",545438,260638,"E00090685","C1",9123
"Cambridgeshire","E10000003","Bar Hill Library","Gladeside","Cambridge","Cambridgeshire","CB23 8DY","LAL",NULL,"Yes",538102,263605,"E00091922","D1",23312
"Cambridgeshire","E10000003","Barnwell Road Library","Barnwell Road","Cambridge","Cambridgeshire","CB5 8RG","LAL",NULL,"No",547909,259199,"E00090532","C1",5861
"Cambridgeshire","E10000003","Bassingbourn Book Cafe","The Limes Community Centre, High Street","Bassingbourn-Cum-Kneesworth","Cambridgeshire","SG8 5LD","CRL",NULL,"Yes",533348,243987,"E00091946","D1",26044
"Cambridgeshire","E10000003","Bottisham Community Library","Bottisham Village College, Lode Road","Cambridge","Cambridgeshire","CB25 9DL","CRL",10002596403,"Yes",554080,261001,"E00090855","D1",28497
"Cambridgeshire","E10000003","Brampton Community Library","34 High Street","Huntingdon","Cambridgeshire","PE28 4TH","CRL",NULL,"Yes",521000,270951,"E00091397","D1",24905
"Cambridgeshire","E10000003","Buckden Library","Community Hall & Sports Centre, Burberry Road","St. Neots","Cambridgeshire","PE19 5UY","LAL",NULL,"Yes",519694,267511,"E00091422","D1",28991
"Cambridgeshire","E10000003","Burwell Library","Village College, The Causeway","Burwell","Cambridgeshire","CB25 0DU","LAL",NULL,"Yes",558800,266957,"E00090883","D1",31903
"Cambridgeshire","E10000003","Cambourne Library","Sackville House, Sackville Way","Cambourne","Cambridgeshire","CB23 6HL","LAL",NULL,"Yes",532218,259603,"E00170791","D1",14370
"Cambridgeshire","E10000003","Cambridge Central Library","7 Lion Yard","Cambridge","Cambridgeshire","CB2 3QD","LAL",10002567042,"Yes",545003,258382,"E00090710","C1",21625
"Cambridgeshire","E10000003","Chatteris Library","2 Furrowfields Road","Chatteris","Cambridgeshire","PE16 6PT","LAL",NULL,"Yes",539268,286415,"E00091338","C1",13478
"Cambridgeshire","E10000003","Cherry Hinton Library","High Street","Cambridge","Cambridgeshire","CB1 9HZ","LAL",NULL,"Yes",548651,256391,"E00090593","C1",31096
"Cambridgeshire","E10000003","Clay Farm Library","Clay Farm Centre, Hobson Square","Cambridge","Cambridgeshire","CB2 9FN","CL",NULL,"Yes",545245,254925,"E00090819","C1",21114
"Cambridgeshire","E10000003","Comberton Library","Comberton Village Centre, West Street","Comberton","Cambridgeshire","CB23 7DU","LAL",100091611309,"Yes",537543,255959,"E00091969","E1",28131
"Cambridgeshire","E10000003","Cottenham Library","Margett Square","Cottenham","Cambridgeshire","CB24 8QY","LAL",NULL,"No",545209,267786,"E00091983","D1",32528
"Cambridgeshire","E10000003","Ely Library","6 The Cloisters","Ely","Cambridgeshire","CB7 4ZH","LAL",NULL,"No",554310,280392,"E00090920","C1",20557
"Cambridgeshire","E10000003","Fulbourn Village Library","The Swifts, Haggis Gap","Cambridge","Cambridgeshire","CB21 5HD","CRL",NULL,"Yes",551742,256041,"E00092019","C1",30778
"Cambridgeshire","E10000003","Gamlingay Library","The Eco Hub, Stocks Lane","Gamlingay","Cambridgeshire","SG19 3JR","CRL",NULL,"Yes",523909,252052,"E00092037","D1",19550
"Cambridgeshire","E10000003","Great Shelford Library","Woodlards Lane","Cambridge","Cambridgeshire","CB22 5LZ","LAL",NULL,"No",546181,251961,"E00092266","C1",32747
"Cambridgeshire","E10000003","Haddenham Library","Arkenstall Centre, 7 Station Road","Ely","Cambridgeshire","CB6 3XD","CRL",NULL,"Yes",546479,275855,"E00090994","D1",27863
"Cambridgeshire","E10000003","Histon Library","School Hill","Cambridge","Cambridgeshire","CB24 9JE","LAL",NULL,"No",543764,263752,"E00092091","C1",32519
"Cambridgeshire","E10000003","Huntingdon Library","Huntingdon Library & Archives Centre, Princes Street","Huntingdon","Cambridgeshire","PE29 3PA","LAL",NULL,"Yes",523815,271723,"E00173810","C1",18154
"Cambridgeshire","E10000003","Linton Library","Cathodean Centre, Horseheath Road","Linton","Cambridgeshire","CB21 4LU","LAL",NULL,"Yes",556962,246873,"E00092112","D1",32785
"Cambridgeshire","E10000003","Little Downham Library","Village Centre, Main Street","Ely","Cambridgeshire","CB6 2ST","CRL",NULL,"Yes",552447,284005,"E00090904","D1",26054
"Cambridgeshire","E10000003","Littleport Library","Town Hall","Littleport","Cambridgeshire","CB6 1LU","LAL",NULL,"No",556989,286796,"E00091021","D1",17131
"Cambridgeshire","E10000003","March Library","City Road","March","Cambridgeshire","PE15 9LT","LAL",NULL,"Yes",541458,296599,"E00091247","C1",9537
"Cambridgeshire","E10000003","Melbourn Library","Melbourn Community Hub, 30 High Street","Royston","Cambridgeshire","SG8 6DZ","CRL",NULL,"Yes",538333,244826,"E00092145","D1",32566
"Cambridgeshire","E10000003","Milton Road Library","Ascham Road","Cambridge","Cambridgeshire","CB4 2BD","LAL",NULL,"No",545451,259943,"E00090829","C1",31434
"Cambridgeshire","E10000003","Papworth Library","Lower Pendrill Court, Ermine Street North","Papworth Everard","Cambridgeshire","CB23 3UY","LAL",NULL,"No",528527,263102,"E00092193","D1",23136
"Cambridgeshire","E10000003","Ramsey Library","25 Great Whyte","Ramsey","Cambridgeshire","PE26 1HG","LAL",NULL,"Yes",528774,285148,"E00091620","D1",14450
"Cambridgeshire","E10000003","Rock Road Library","69 Rock Road","Cambridge","Cambridgeshire","CB1 7UG","LAL",NULL,"No",546531,256458,"E00090765","C1",31094
"Cambridgeshire","E10000003","Sawston Library","Swaston Village College, New Road","Sawston","Cambridgeshire","CB22 3BP","LAL",NULL,"Yes",548215,249780,"E00092198","D1",25462
"Cambridgeshire","E10000003","Sawtry Library","Sawtry Community Centre, Green End Road","Sawtry","Cambridgeshire","PE28 5UX","LAL",NULL,"Yes",516766,283524,"E00091787","D1",22998
"Cambridgeshire","E10000003","Soham Library","Clay Street","Soham","Cambridgeshire","CB7 5HJ","LAL",NULL,"Yes",559165,273028,"E00091047","D1",19431
"Cambridgeshire","E10000003","Somersham Community Library","Church Street","Somersham","Cambridgeshire","PE28 3EG","LAL",NULL,"No",536046,277759,"E00091800","D1",31187
"Cambridgeshire","E10000003","St Ives Library","4 Library Row, Station Road","St. Ives","Cambridgeshire","PE27 5BW","LAL",NULL,"No",531711,271149,"E00091661","C1",21167
"Cambridgeshire","E10000003","St Neots Library","Priory Lane","St. Neots","Cambridgeshire","PE19 2BH","CRL",NULL,"No",518121,260333,"E00091748","C1",14897
"Cambridgeshire","E10000003","Swavesey Community Library","Gibraltar Lane","Swavesey","Cambridgeshire","CB24 4RS","CRL",10003186589,"Yes",536113,268179,"E00092220","D1",30550
"Cambridgeshire","E10000003","Warboys Library","High Street","Huntingdon","Cambridgeshire","PE28 2TA","LAL",NULL,"No",530769,280140,"E00091860","D1",20034
"Cambridgeshire","E10000003","Waterbeach Community Library","Community Centre, High Street","Waterbeach","Cambridgeshire","CB25 9JU","CRL",NULL,"Yes",549566,265731,"E00092298","D1",26884
"Cambridgeshire","E10000003","Whittlesey Library","31-35 Market Street","Whittlesey","Cambridgeshire","PE7 1BA","LAL",NULL,"Yes",526929,297042,"E00091327","C1",17698
"Cambridgeshire","E10000003","Willingham Library","Church Street","Willingham","Cambridgeshire","CB24 5HS","LAL",NULL,"No",540611,270498,"E00170789","D1",19359
"Cambridgeshire","E10000003","Wisbech Library","Ely Place","Wisbech","Cambridgeshire","PE13 1EU","LAL",NULL,"Yes",546232,309603,"E00091269","C1",2440
"Cambridgeshire","E10000003","Yaxley Library","Landsowne Road","Yaxley","Cambridgeshire","PE7 3JL","LAL",NULL,"No",518771,292435,"E00091875","D1",24594
"Camden","E09000007","Belsize Community Library","Antrim Road","London","Greater London","NW3 3NR","CRL",NULL,"No",526811,184308,"E00174677","A1",21779
"Camden","E09000007","Camden Town Library","218 Eversholt Street","London","Greater London","NW1 1BD","LAL",NULL,"No",529261,183348,"E00004706","A1",7439
"Camden","E09000007","Highgate Library","Chester Road","London","Greater London","N19 5DH","CRL",NULL,"No",528673,186576,"E00004507","A1",7784
"Camden","E09000007","Holborn Library","32 Theobolds Road","London","Greater London","WC1X 8PA","LAL",5082117,"No",530827,181934,"E00174675","A1",14970
"Camden","E09000007","Keats Community Library","10A Keats Grove","London","Greater London","NW3 2RR","ICL",NULL,"No",527089,185656,"E00004427","A1",26131
"Camden","E09000007","Kentish Town Library","262-266 Kentish Town Road","London","Greater London","NW5 2AA","LAL",NULL,"No",529021,185106,"E00004593","A1",12366
"Camden","E09000007","Kilburn Library Centre","12-22 Kilburn High Road","London","Greater London","NW6 5UH","LAL",NULL,"No",525553,183493,"E00004609","A1",4763
"Camden","E09000007","Pancras Square Library","5 Pancras Square","London","Greater London","N1C 4AG","LAL",NULL,"No",530144,183285,"E00004734","A1",2502
"Camden","E09000007","Primrose Hill Community Library","Sharpleshall Street","London","Greater London","NW1 8YN","CRL",NULL,"No",527935,184092,"E00004228","A1",24133
"Camden","E09000007","Queens Crescent Library","165 Queens Crescent","London","Greater London","NW5 4HH","LAL",5055020,"No",528284,185130,"E00004380","A1",1468
"Camden","E09000007","Swiss Cottage Library","88 Avenue Road","London","Greater London","NW3 3HA","LAL",5061473,"No",526779,184180,"E00174677","A1",21779
"Camden","E09000007","West Hampstead Library","Dennington Park Road","London","Greater London","NW6 1AU","LAL",NULL,"No",525481,185041,"E00004820","A1",24914
"Central Bedfordshire","E06000056","Ampthill Library","1 Dunstable Street","Ampthill","Bedfordshire","MK45 2NL","LAL",100081213546,"No",503327,237460,"E00087739","C1",30143
"Central Bedfordshire","E06000056","Arlesey Library Access Point","High Street","Arlesey","Bedfordshire","SG15 6SN","CRL",NULL,"No",519355,236107,"E00087758","D1",15313
"Central Bedfordshire","E06000056","Barton Library","Bedford Road","Barton","Bedfordshire","MK45 4PP","LAL",NULL,"No",508189,231088,"E00088632","D1",28100
"Central Bedfordshire","E06000056","Biggleswade Library","Chestnut Avenue","Biggleswade","Bedfordshire","SG18 0LL","LAL",NULL,"No",519356,244701,"E00087820","C1",15641
"Central Bedfordshire","E06000056","Dunstable Library","The Dunstable Centre, Court Drive","Dunstable","Bedfordshire","LU5 4JD","LAL",NULL,"No",501919,222208,"E00088686","C1",12999
"Central Bedfordshire","E06000056","Flitwick Library","Coniston Road","Flitwick","Bedfordshire","MK45 1QJ","LAL",NULL,"No",503160,234729,"E00087891","C1",30719
"Central Bedfordshire","E06000056","Houghton Regis Library","Bedford Square","Houghton Regis","Bedfordshire","LU5 5ES","LAL",NULL,"No",501956,223973,"E00088733","C1",11194
"Central Bedfordshire","E06000056","Leighton Buzzard Library","Lake Street","Leighton Buzzard","Bedfordshire","LU7 1RX","LAL",NULL,"No",492327,224903,"E00088616","C1",10975
"Central Bedfordshire","E06000056","Potton Library","Clock House","Potton","Bedfordshire","SG19 2NP","LAL",NULL,"No",522345,249211,"E00088004","D1",29738
"Central Bedfordshire","E06000056","Sandy Library","Market Square","Sandy","Bedfordshire","SG19 1EH","LAL",NULL,"No",517182,249277,"E00088030","C1",22838
"Central Bedfordshire","E06000056","Shefford Library","High Street","Shefford","Bedfordshire","SG17 5DD","LAL",NULL,"No",514334,239061,"E00088067","C1",19853
"Central Bedfordshire","E06000056","Stotfold Library","Hitchin Road","Stotfold","Bedfordshire","SG5 4HP","LAL",NULL,"No",521295,236650,"E00088095","D1",20458
"Central Bedfordshire","E06000056","Toddington Library","9 Market Square","Toddington","Bedfordshire","LU5 6BP","LAL",NULL,"No",501014,228844,"E00088945","D1",26542
"Cheshire East","E06000049","Alderley Edge Library","44a London Road","Alderley Edge","Cheshire","SK9 7GP","LAL",10008878321,"No",384333,378230,"E00093727","C1",25898
"Cheshire East","E06000049","Alsager Library","Sandbach Road North","Alsager","Cheshire","ST7 2QH","LAL",100012791282,"No",379675,355521,"E00092769","C1",28667
"Cheshire East","E06000049","Bollington Library","Palmerston Street","Bollington","Cheshire","SK10 5JX","LAL",100012772070,"No",393241,377903,"E00093738","C1",28787
"Cheshire East","E06000049","Congleton Library","Market Square","Congleton","Cheshire","CW12 1ET","LAL",100012598482,"No",385958,362962,"E00092857","C1",11413
"Cheshire East","E06000049","Crewe Library","Crewe Lifestyle Centre","Crewe","Cheshire","CW1 2BB","LAL",10014462812,"No",370681.29,355563.36,"E00093172","C1",8930
"Cheshire East","E06000049","Disley Library","off Buxton Old Road","Stockport","Cheshire","SK12 2BB","LAL",100012775118,"No",397538.43,384627,"E00093792","C1",26694
"Cheshire East","E06000049","Handforth Library","The Green, Wilmslow Road","Handforth","Cheshire","SK9 3ES","LAL",100012831784,"No",385805,383497,"E00093849","A1",17438
"Cheshire East","E06000049","Holmes Chapel Library","London Road","Holmes Chapel","Cheshire","CW4 7AP","LAL",100012600988,"No",376288.7,367107.98,"E00092929","D1",26643
"Cheshire East","E06000049","Hurdsfield","Hurdsfield Green","Macclesfield","Cheshire","SK10 2RJ","CRL",NULL,"No",392482,374607,"E00094023","C1",6580
"Cheshire East","E06000049","Knutsford Library","Toft Road","Knutsford","Cheshire","WA16 0PG","LAL",NULL,"No",375161,378408,"E00093904","C1",22644
"Cheshire East","E06000049","Macclesfield Library","Jordangate","Macclesfield","Cheshire","SK10 1EE","LAL",100012770673,"No",391733,373843,"E00174348","C1",10837
"Cheshire East","E06000049","Middlewich Library","Lewin Street","Middlewich","Cheshire","CW10 9AS","LAL",100012596961,"No",370409,366164,"E00092976","C1",15854
"Cheshire East","E06000049","Nantwich Library","Beam Street","Nantwich","Cheshire","CW5 5LY","LAL",100012601777,"No",365285,352533,"E00093109","C1",9192
"Cheshire East","E06000049","Poynton Library","Park Lane","Poynton","Cheshire","SK12 1RB","LAL",100012831581,"No",392259,383653,"E00094162","A1",25903
"Cheshire East","E06000049","Prestbury Library","Reading Room","Prestbury","Cheshire","SK10 4AL","LAL",100012771218,"No",389953.21,376852.21,"E00094218","C1",29752
"Cheshire East","E06000049","Sandbach Library","The Commons","Sandbach","Cheshire","CW11 1FJ","LAL",100012597441,"No",375956,360978,"E00093015","C1",9708
"Cheshire East","E06000049","Wilmslow Library","South Drive","Wilmslow","Cheshire","SK9 1NW","LAL",100012789927,"No",384604,380850,"E00093872","A1",29234
"Cheshire West and Chester","E06000050","Barnton Library","Townfield Lane","Northwich","Cheshire","CW8 4LJ","LAL",100012604936,"No",363414,375462,"E00094251","C1",32025
"Cheshire West and Chester","E06000050","Blacon Library","Parade Enterprise Centre, 14 The Parade","Chester","Cheshire","CH1 5QY","LAL",10091641127,"Yes",338205.28,368332.61,"E00092376","C1",4988
"Cheshire West and Chester","E06000050","Chester Library at Storyhouse","Hunter Street","Chester","Cheshire","CH1 2AR","LAL",100012566709,"Yes",340447,366498,"E00092438","C1",8783
"Cheshire West and Chester","E06000050","Ellesmere Port Library","Civic Way","Ellesmere Port","Cheshire","CH65 0BG","LAL",100012593564,"No",339958,375866,"E00093456","C1",2117
"Cheshire West and Chester","E06000050","Frodsham Library","Princeway","Frodsham","Cheshire","WA6 6RX","LAL",10091139782,"Yes",351684.81,377671.25,"E00094323","D1",17823
"Cheshire West and Chester","E06000050","Great Boughton Library","Green Lane","Chester","Cheshire","CH3 5LB","LAL",10012217914,"No",343034.27,367031.46,"E00092750","C1",29286
"Cheshire West and Chester","E06000050","Helsby Library","Lower Robin Hood Lane","Helsby","Cheshire","WA6 0BW","LAL",100012807271,"No",348630,375088,"E00094364","D1",26421
"Cheshire West and Chester","E06000050","Hoole Library","Hoole Community Centre, Westminster Road","Hoole","Cheshire","CH2 3AU","CRL",NULL,"Yes",341684,367211,"E00092529","C1",23788
"Cheshire West and Chester","E06000050","Hope Farm Library","Bridge Meadow","Ellesmere Port","Cheshire","CH66 2LE","LAL",100012594980,"No",338656.94,374724.73,"E00093483","C1",27183
"Cheshire West and Chester","E06000050","Lache Library","Lache Park Avenue","Chester","Cheshire","CH4 8HR","LAL",100012571720,"No",339107.87,364876.27,"E00092571","C1",21777
"Cheshire West and Chester","E06000050","Little Sutton Library","Chester Road","Ellesmere Port","Cheshire","CH66 1QQ","LAL",200003329413,"No",336976,377118,"E00093597","C1",12683
"Cheshire West and Chester","E06000050","Malpas Library","Bishop Heber High School","Malpas","Cheshire","SY14 8JD","LAL",NULL,"No",349019,348106,"E00092595","D1",21064
"Cheshire West and Chester","E06000050","Neston Library","Parkgate Road","Neston","Cheshire","CH64 6QE","LAL",100012593260,"No",328960.61,377529.1,"E00093543","C1",27383
"Cheshire West and Chester","E06000050","Northwich Library","Witton Street","Northwich","Cheshire","CW9 5DR","LAL",200003235917,"No",366080.23,374045.21,"E00094469","C1",4073
"Cheshire West and Chester","E06000050","Sandiway Library","Mere Lane","Northwich","Cheshire","CW8 2NS","LAL",100012604466,"No",360064,370981,"E00094272","D1",17301
"Cheshire West and Chester","E06000050","Tarporley Library","High School","Tarporley","Cheshire","CW6 0BJ","LAL",200002841228,"No",355611,362027,"E00094525","D1",27215
"Cheshire West and Chester","E06000050","Tarvin Library","Community Centre, Meadow Close","Tarvin","Cheshire","CH3 8LY","LAL",NULL,"No",348742,366645,"E00092668","D1",31237
"Cheshire West and Chester","E06000050","Tattenhall Library","Tattenhall Park Primary School","Chester","Cheshire","CH3 9AH","LAL",200000817418,"No",348697,358736,"E00092675","F1",21812
"Cheshire West and Chester","E06000050","Upton Library","Wealstone Lane","Chester","Cheshire","CH2 1HB","LAL",200000825916,"No",341028,368827,"E00092719","C1",24360
"Cheshire West and Chester","E06000050","Weaverham Library","Russet Road","Weaverham","Cheshire","CW8 3HY","LAL",100012604647,"No",361646,373910,"E00094540","D1",8650
"Cheshire West and Chester","E06000050","Wharton Library","Willow Square","Winsford","Cheshire","CW7 3HP","LAL",10014512652,"No",366440,366634,"E00094638","C1",589
"Cheshire West and Chester","E06000050","Winsford Library","High Street","Winsford","Cheshire","CW7 2AS","LAL",100012603461,"No",364773,366293,"E00094557","C1",9246
"City of London","E09000001","Artizan Street Library & Community Centre","1 Artizan Street","London","Greater London","E1 7AF","LAL",95511788,"Yes",533544,181390,"E00000030","A1",10285
"City of London","E09000001","Barbican  Library","Silk Street","London","Greater London","EC2Y 8DS","LAL",95500016,"Yes",532329,181837,"E00000018","A1",28855
"City of London","E09000001","Shoe Lane Library","Little New Street","London","Greater London","EC4A 3JR","LAL",200000075492,"No",531478,181312,"E00000025","A1",18868
"Cornwall","E06000052","Bodmin Library & Information Service","Chy Trevail","Bodmin","Cornwall","PL31 2FR","LAL",10090884069,"No",205714.7,67008.7,"E00095579","C1",11633
"Cornwall","E06000052","Bude Library & Information Service","The Wharf","Bude","Cornwall","EX23 9LG","CL",10003308395,"No",220632,106310,"E00095701","E2",10868
"Cornwall","E06000052","Callington Library & Information Service","Coronation Road","Callington","Cornwall","PL17 7BX","LAL",100041154596,"No",236172,69878,"E00094645","D1",6276
"Cornwall","E06000052","Camborne Library","The Cross","Camborne","Cornwall","TR14 8HA","CL",100041208198,"No",164795,39824,"E00095321","C1",1512
"Cornwall","E06000052","Camelford Library & Information Service","Town Hall, Market Place","Camelford","Cornwall","PL32 9PD","CL",100041026852,"No",210573,83739,"E00095640","D2",14761
"Cornwall","E06000052","Devoran Micro","The Market Hall, Market Street","Devoran","Cornwall","TR3 6QA","LAL-",10091539708,"No",179427.09,39136.68,"E00094996","E1",16199
"Cornwall","E06000052","Falmouth Library","Municipal Offices","Falmouth","Cornwall","TR11 3QA","CL",10001215712,"No",180625,32925,"E00095109","C1",11825
"Cornwall","E06000052","Hayle Library& Information Service","Commercial Road","Hayle","Cornwall","TR27 4DE","CL",100041027886,"No",156310.75,37834.24,"E00095883","D1",8660
"Cornwall","E06000052","Helston Library & Information Service","Trengrouse Way","Helston","Cornwall","TR13 8AG","LAL",100041207186,"Yes",166141.68,27399.15,"E00095365","C1",7750
"Cornwall","E06000052","Ladock Micro","The Falmouth Arms","Truro","Cornwall","TR2 4PG","LAL-",NULL,"No",189239,50937,"E00095138","F1",14320
"Cornwall","E06000052","Launceston Library & Information Service","Bounsalls Lane","Launceston","Cornwall","PL15 9AB","CL",100041154524,"No",233172,84434,"E00095688","D2",8556
"Cornwall","E06000052","Liskeard Library","Luxstowe House","Liskeard","Cornwall","PL14 6AB","LAL",100041153847,"No",225115,64516,"E00094758","D1",4340
"Cornwall","E06000052","Looe Library & Information Service","Millpool","Looe","Cornwall","PL13 2AF","CL",10003918474,"No",225240.26,53722.69,"E00094783","D1",12181
"Cornwall","E06000052","Lostwithiel Library","Taprell House, North Street","Lostwithiel","Cornwall","PL22 0BL","CL",10034634267,"No",210366,59833,"E00096195","D1",19660
"Cornwall","E06000052","Millbrook Micro","The Rame Centre, 3 West Street","Torpoint","Cornwall","PL10 1AA","LAL-",10091024367,"No",242306.76,52085.83,"E00094810","D1",13254
"Cornwall","E06000052","Mullion Micro","The Old Inn","Mullion","Cornwall","TR12 7HN","LAL-",100041206681,"No",167841.69,19247.39,"E00095450","D1",14959
"Cornwall","E06000052","Nanpean Micro","The Grenville Arms, Fore Street","St. Austell","Cornwall","PL26 7YE","LAL-",NULL,"No",196034,56058,"E00096365","E1",6133
"Cornwall","E06000052","Newquay Library & Information Service","Marcus Hill","Newquay","Cornwall","TR7 1BD","CL",100041217169,"No",181093,61583,"E00096161","C1",2378
"Cornwall","E06000052","Par Community Library","Par Athletics Track","Par","Cornwall","PL24 2PB","CRL",10002695508,"No",207912,53934,"E00096143","D1",14212
"Cornwall","E06000052","Penryn Library","St. Thomas Street","Penryn","Cornwall","TR10 8JN","CL",100041022499,"No",178600,34325,"E00095096","C1",4432
"Cornwall","E06000052","Penzance Library & Information Service","St. John's Hall, Alverton Street","Penzance","Cornwall","TR18 2QW","LAL",10093433955,"No",147011.33,30287.83,"E00095967","C1",2147
"Cornwall","E06000052","Perranporth Library","Oddfellows Hall, Ponsmere Road","Perranporth","Cornwall","TR6 0BW","CL",100041022553,"No",175818,54379,"E00095124","D1",10601
"Cornwall","E06000052","Polbathic Micro","The Halfway House","Torpoint","Cornwall","PL11 3EY","LAL-",10003910155,"No",234824,56888,"E00094835","E1",13571
"Cornwall","E06000052","Porkellis Micro","The Star, Porkellis","Helston","Cornwall","TR13 0JR","LAL-",10012968294,"No",169265,33398,"E00095549","F1",11935
"Cornwall","E06000052","Redruth Library & Information Service","Clinton Road","Redruth","Cornwall","TR15 2QE","CL",100041209365,"No",170010,41824,"E00095507","C1",19024
"Cornwall","E06000052","Saltash Library & Information Service","Callington Road","Saltash","Cornwall","PL12 6DX","CL",100041024369,"No",242305,59037,"E00094857","C1",9503
"Cornwall","E06000052","Shortlanesend Micro","The Old Plough, Church Road","Truro","Cornwall","TR4 9DY","LAL-",100040041039,"No",180841.47,47637.74,"E00095012","E1",14936
"Cornwall","E06000052","St Dennis Micro","Fore Street","St. Dennis","Cornwall","PL26 8AF","LAL-",10091024058,"No",195165,57846,"E00096286","D1",11318
"Cornwall","E06000052","St. Agnes Library","Trelawney Road","St. Agnes","Cornwall","TR5 0TP","CL",10001215432,"No",171947,50409,"E00095182","D1",14685
"Cornwall","E06000052","St. Austell Library","2 Carlyon Road","St. Austell","Cornwall","PL25 4LD","CL",100041159118,"No",201871,52510,"E00096223","C1",2755
"Cornwall","E06000052","St. Columb Library","The Town Hall, Market Place","St. Columb","Cornwall","TR9 6AN","CL",100041218282,"No",191321,63619,"E00096322","D1",18531
"Cornwall","E06000052","St. Columb Minor Micro","The Farmers Arms, Church Street","Newquay","Cornwall","TR7 3EZ","LAL-",NULL,"No",183943,62335,"E00096262","C1",8518
"Cornwall","E06000052","St. Ives Library & Information Service","Gabriel Street","St. Ives","Cornwall","TR26 2LX","CL",10023894099,"No",151736,40408,"E00096059","D1",10379
"Cornwall","E06000052","St. Just Library","Market Street","St. Just","Cornwall","TR19 7HX","CL",100041029528,"No",136923,31364,"E00095945","D2",8312
"Cornwall","E06000052","Stoke Climsland","The Old School","Callington","Cornwall","PL17 8NY","LAL-",10003304467,"No",236030,74450,"E00095787","F1",16532
"Cornwall","E06000052","Torpoint Library & Information Service","Fore Street","Torpoint","Cornwall","PL11 2AG","CL",100041151648,"No",244044,55092,"E00094900","D1",5524
"Cornwall","E06000052","Treverbyn Micro","Treverbyn Community Hall, Treverbyn Road","St. Austell","Cornwall","PL26 8TL","LAL-",10014478568,"No",201624,57044,"E00096395","E1",9026
"Cornwall","E06000052","Truro Community Library","Union Place","Truro","Cornwall","TR1 1EP","CL",100041023250,"No",182530,44971,"E00094942","C1",9388
"Cornwall","E06000052","Upton Cross Micro  Library","Linkinhorne Parish Hall Upton Cross","Liskeard","Cornwall","PL14 5AN","LAL",10003072316,"No",228093.64,72133.3,"E00094786","E1",12624
"Cornwall","E06000052","Vogue Micro","The Star Inn","Redruth","Cornwall","TR16 5NP","LAL-",200001778679,"No",172414,42403,"E00095528","D1",9478
"Cornwall","E06000052","Wadebridge Library & Information Service","Southern Way","Wadebridge","Cornwall","PL27 7BX","CL",NULL,"No",199181,72216,"E00095825","D1",12286
"Cornwall","E06000052","Wainhouse Corner Micro Library","The Old Wainhouse Inn, Eden Road","Bude","Cornwall","EX23 0BA","LAL-",10003309118,"No",218165,95459,"E00095835","E2",9307
"County Durham","E06000047","Annfield Plain Library","North Road","Stanley","County Durham","DH9 8EZ","LAL",NULL,"No",416614,551971,"E00104720","C1",10544
"County Durham","E06000047","Barnard Castle Library","2 Hall Street","Barnard Castle","County Durham","DL12 8JB","LAL",NULL,"No",405121,516478,"E00105833","D1",11809
"County Durham","E06000047","Belmont Library","Cheveley Park Shopping Centre","Belmont","County Durham","DH1 2AA","LAL",NULL,"No",430653,543589,"E00104946","C1",30577
"County Durham","E06000047","Bishop Auckland Library","Bishop Auckland Town Hall, Market Place","Bishop Auckland","County Durham","DL14 7NP","LAL",NULL,"No",421216,530147,"E00105926","C1",7714
"County Durham","E06000047","Blackhall Library","Back Middle Street","Blackhall","County Durham","TS27 4HD","LAL",NULL,"No",445814,539378,"E00105243","C1",1558
"County Durham","E06000047","Bowburn Library","Durham Road","Bowburn","County Durham","DH6 5AT","LAL",NULL,"No",430717,537766,"E00105017","D1",17816
"County Durham","E06000047","Brandon Library","Lowland Road","Brandon","County Durham","DH7 8NN","LAL",NULL,"No",423874,539621,"E00104981","D1",4739
"County Durham","E06000047","Chester-le-Street Library","Station Road","Chester-le-Street","County Durham","DH3 3BP","LAL",NULL,"No",427449,551234,"E00104466","A1",7454
"County Durham","E06000047","Chilton Library","Durham Road","Ferryhill","County Durham","DL17 0EX","LAL",NULL,"No",428551,529518,"E00105582","D1",14995
"County Durham","E06000047","Consett Library","Victoria Road","Consett","County Durham","DH8 5AT","LAL",NULL,"No",410837,550940,"E00104727","C1",11447
"County Durham","E06000047","Cornforth Library","High Street","Ferryhill","County Durham","DL17 9HP","LAL",NULL,"No",431030,534300,"E00105533","D1",4488
